Back to Contents,Data 1: U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Sourcekey,MGFUPUS2
Date,U.S. Product Supplied of Finished Motor Gasoline (Thousand Barrels per Day)
Jul-1973,7023
Aug-1973,7257
Sep-1973,6581
Oct-1973,6677
Nov-1973,6823
Dec-1973,6237
Jan-1974,5804
Feb-1974,6100
Mar-1974,6162
Apr-1974,6457
May-1974,6745
Jun-1974,6919
Jul-1974,6959
Aug-1974,7061
Sep-1974,6388
Oct-1974,6712
Nov-1974,6547
Dec-1974,6558
Jan-1975,6206
Feb-1975,6096
Mar-1975,6326
Apr-1975,6718
May-1975,6871
Jun-1975,7076
Jul-1975,7041
Aug-1975,7008
Sep-1975,6729
Oct-1975,6778
Nov-1975,6390
Dec-1975,6808
Jan-1976,6398
Feb-1976,6263
Mar-1976,6890
Apr-1976,7159
May-1976,6853
Jun-1976,7482
Jul-1976,7315
Aug-1976,7168
Sep-1976,7079
Oct-1976,6929
Nov-1976,7038
Dec-1976,7138
Jan-1977,6472
Feb-1977,6900
Mar-1977,6908
Apr-1977,7345
May-1977,7029
Jun-1977,7593
Jul-1977,7439
Aug-1977,7420
Sep-1977,7316
Oct-1977,7130
Nov-1977,7191
Dec-1977,7375
Jan-1978,6681
Feb-1978,6876
Mar-1978,7255
Apr-1978,7202
May-1978,7724
Jun-1978,7913
Jul-1978,7576
Aug-1978,7872
Sep-1978,7399
Oct-1978,7448
Nov-1978,7503
Dec-1978,7451
Jan-1979,6830
Feb-1979,7254
Mar-1979,7229
Apr-1979,7055
May-1979,7213
Jun-1979,7191
Jul-1979,6902
Aug-1979,7330
Sep-1979,6881
Oct-1979,7020
Nov-1979,6791
Dec-1979,6730
Jan-1980,6323
Feb-1980,6596
Mar-1980,6406
Apr-1980,6800
May-1980,6729
Jun-1980,6657
Jul-1980,6743
Aug-1980,6648
Sep-1980,6510
Oct-1980,6662
Nov-1980,6234
Dec-1980,6632
Jan-1981,6431
Feb-1981,6301
Mar-1981,6303
Apr-1981,6602
May-1981,6615
Jun-1981,7028
Jul-1981,6823
Aug-1981,6637
Sep-1981,6662
Oct-1981,6578
Nov-1981,6373
Dec-1981,6681
Jan-1982,5961
Feb-1982,6196
Mar-1982,6466
Apr-1982,6897
May-1982,6655
Jun-1982,6835
Jul-1982,6790
Aug-1982,6614
Sep-1982,6531
Oct-1982,6391
Nov-1982,6574
Dec-1982,6549
Jan-1983,6051
Feb-1983,6000
Mar-1983,6836
Apr-1983,6452
May-1983,6617
Jun-1983,6994
Jul-1983,6765
Aug-1983,6936
Sep-1983,6727
Oct-1983,6588
Nov-1983,6603
Dec-1983,6846
Jan-1984,6265
Feb-1984,6231
Mar-1984,6528
Apr-1984,6676
May-1984,6890
Jun-1984,7107
Jul-1984,6830
Aug-1984,7093
Sep-1984,6588
Oct-1984,6729
Nov-1984,6800
Dec-1984,6555
Jan-1985,6348
Feb-1985,6587
Mar-1985,6664
Apr-1985,6956
May-1985,7060
Jun-1985,6997
Jul-1985,7008
Aug-1985,7242
Sep-1985,6629
Oct-1985,6897
