,ds,y,Capacity
486,2014-08-01,8453,17931
487,2014-07-25,8443,17931
488,2014-07-18,8565,17931
489,2014-07-11,8592,17931
490,2014-07-04,8514,17931
491,2014-06-27,8442,17931
492,2014-06-20,8446,17931
493,2014-06-13,8477,17931
494,2014-06-06,8460,17931
495,2014-05-30,8383,17925
496,2014-05-23,8472,17925
497,2014-05-16,8434,17925
498,2014-05-09,8428,17925
499,2014-05-02,8350,17925
500,2014-04-25,8352,17933
501,2014-04-18,8360,17933
502,2014-04-11,8301,17933
503,2014-04-04,8229,17933
504,2014-03-28,8192,17818
505,2014-03-21,8190,17818
506,2014-03-14,8215,17818
507,2014-03-07,8182,17818
508,2014-02-28,8077,17818
509,2014-02-21,8059,17818
510,2014-02-14,8148,17818
511,2014-02-07,8132,17818
512,2014-01-31,8044,17818
513,2014-01-24,8044,17818
514,2014-01-17,8052,17818
515,2014-01-10,8159,17818
516,2014-01-03,8145,17818
517,2013-12-27,8121,17818
518,2013-12-20,8111,17818
519,2013-12-13,8058,17818
520,2013-12-06,8075,17818
521,2013-11-29,8011,17815
522,2013-11-22,8019,17815
523,2013-11-15,7974,17815
524,2013-11-08,7981,17815
525,2013-11-01,7858,17815
526,2013-10-25,7853,17815
527,2013-10-18,7896,17815
528,2013-10-11,7428,17815
529,2013-10-04,7809,17815
530,2013-09-27,7784,17815
531,2013-09-20,7777,17815
532,2013-09-13,7827,17815
533,2013-09-06,7745,17815
534,2013-08-30,7621,17815
535,2013-08-23,7609,17815
536,2013-08-16,7518,17815
537,2013-08-09,7571,17815
538,2013-08-02,7560,17815
539,2013-07-26,7542,17814
540,2013-07-19,7555,17814
541,2013-07-12,7490,17814
542,2013-07-05,7401,17810
543,2013-06-28,7267,17810
544,2013-06-21,7261,17810
545,2013-06-14,7129,17810
546,2013-06-07,7224,17810
547,2013-05-31,7300,17810
548,2013-05-24,7292,17810
549,2013-05-17,7258,17810
550,2013-05-10,7321,17810
551,2013-05-03,7369,17810
552,2013-04-26,7312,17819
553,2013-04-19,7326,17819
554,2013-04-12,7208,17819
555,2013-04-05,7181,17819
556,2013-03-29,7151,17703
557,2013-03-22,7151,17703
558,2013-03-15,7150,17703
559,2013-03-08,7159,17703
560,2013-03-01,7093,17405
561,2013-02-22,7096,17405
562,2013-02-15,7118,17405
563,2013-02-08,7064,17405
564,2013-02-01,6997,17400
565,2013-01-25,6993,17400
566,2013-01-18,6989,17400
567,2013-01-11,7041,17400
568,2013-01-04,7002,17395
569,2012-12-28,6985,17395
570,2012-12-21,6984,17395
571,2012-12-14,6863,17395
572,2012-12-07,6852,17395
573,2012-11-30,6817,17380
574,2012-11-23,6818,17380
575,2012-11-16,6710,17380
576,2012-11-09,6709,17380
577,2012-11-02,6677,17380
578,2012-10-26,6669,17380
579,2012-10-19,6610,17380
580,2012-10-12,6606,17380
581,2012-10-05,6598,17380
582,2012-09-28,6520,17230
583,2012-09-21,6509,17230
584,2012-09-14,6277,17230
585,2012-09-07,5526,17230
586,2012-08-31,5486,17230
587,2012-08-24,6258,17230
588,2012-08-17,6246,17230
589,2012-08-10,6181,17230
590,2012-08-03,6218,17230
591,2012-07-27,6320,17230
592,2012-07-20,6364,17230
593,2012-07-13,6245,17230
594,2012-07-06,6249,17230
595,2012-06-29,6094,17230
596,2012-06-22,6257,17230
597,2012-06-15,6353,17230
598,2012-06-08,6236,17230
599,2012-06-01,6245,17230
600,2012-05-25,6227,17312
601,2012-05-18,6239,17312
602,2012-05-11,6149,17312
603,2012-05-04,6136,17312
604,2012-04-27,6121,17315
605,2012-04-20,6113,17315
606,2012-04-13,6043,17315
607,2012-04-06,6040,17315
608,2012-03-30,6049,17315
609,2012-03-23,5821,17315
610,2012-03-16,5826,17730
611,2012-03-09,5830,17730
612,2012-03-02,5806,17730
613,2012-02-24,5814,17730
614,2012-02-17,5817,17730
615,2012-02-10,5819,17730
616,2012-02-03,5763,17730
617,2012-01-27,5720,17736
618,2012-01-20,5722,17736
619,2012-01-13,5726,17736
620,2012-01-06,5844,17736
621,2011-12-30,5851,17736
622,2011-12-23,5846,17736
623,2011-12-16,5862,17736
624,2011-12-09,5862,17736
625,2011-12-02,5861,17736
626,2011-11-25,5864,17736
627,2011-11-18,5887,17736
628,2011-11-11,5894,17736
629,2011-11-04,5846,17736
630,2011-10-28,5818,17736
631,2011-10-21,5876,17736
632,2011-10-14,5891,17736
633,2011-10-07,5878,17736
634,2011-09-30,5800,17736
635,2011-09-23,5756,17736
636,2011-09-16,5747,17736
637,2011-09-09,5083,17736
638,2011-09-02,5642,17736
639,2011-08-26,5598,17736
640,2011-08-19,5591,17736
641,2011-08-12,5561,17736
642,2011-08-05,5529,17736
643,2011-07-29,5523,17736
644,2011-07-22,5377,17736
645,2011-07-15,5591,17736
646,2011-07-08,5578,17736
647,2011-07-01,5520,17698
648,2011-06-24,5593,17698
649,2011-06-17,5650,17698
650,2011-06-10,5643,17698
651,2011-06-03,5633,17698
652,2011-05-27,5609,17698
653,2011-05-20,5583,17698
654,2011-05-13,5618,17698
655,2011-05-06,5609,17698
656,2011-04-29,5623,17693
657,2011-04-22,5610,17693
658,2011-04-15,5625,17693
659,2011-04-08,5635,17693
660,2011-04-01,5638,17594
661,2011-03-25,5568,17594
662,2011-03-18,5570,17594
663,2011-03-11,5591,17594
664,2011-03-04,5593,17594
665,2011-02-25,5591,17594
666,2011-02-18,5604,17594
667,2011-02-11,5610,17594
668,2011-02-04,5597,17594
669,2011-01-28,5568,17594
670,2011-01-21,5321,17594
671,2011-01-14,5205,17594
672,2011-01-07,5575,17594
673,2010-12-31,5598,17594
674,2010-12-24,5575,17594
675,2010-12-17,5598,17594
676,2010-12-10,5604,17594
677,2010-12-03,5582,17594
678,2010-11-26,5555,17594
679,2010-11-19,5581,17594
680,2010-11-12,5597,17594
681,2010-11-05,5596,17594
682,2010-10-29,5593,17594
683,2010-10-22,5540,17594
684,2010-10-15,5536,17594
685,2010-10-08,5528,17594
686,2010-10-01,5514,17594
687,2010-09-24,5562,17589
688,2010-09-17,5556,17589
689,2010-09-10,5573,17589
690,2010-09-03,5603,17589
691,2010-08-27,5602,17589
692,2010-08-20,5511,17589
693,2010-08-13,5352,17589
694,2010-08-06,5239,17589
695,2010-07-30,5440,17589
696,2010-07-23,5486,17588
697,2010-07-16,5460,17588
698,2010-07-09,5352,17588
699,2010-07-02,5414,17588
700,2010-06-25,5257,17584
701,2010-06-18,5501,17584
702,2010-06-11,5503,17584
703,2010-06-04,5445,17584
704,2010-05-28,5320,17584
705,2010-05-21,5540,17584
706,2010-05-14,5516,17584
707,2010-05-07,5533,17584
708,2010-04-30,5522,17584
709,2010-04-23,5488,17584
710,2010-04-16,5466,17584
711,2010-04-09,5475,17688
712,2010-04-02,5473,17688
713,2010-03-26,5489,17688
714,2010-03-19,5536,17688
715,2010-03-12,5540,17688
716,2010-03-05,5527,17688
717,2010-02-26,5510,17688
718,2010-02-19,5505,17688
719,2010-02-12,5482,17688
720,2010-02-05,5475,17688
721,2010-01-29,5403,17681
722,2010-01-22,5421,17681
723,2010-01-15,5404,17681
724,2010-01-08,5496,17681
725,2010-01-01,5507,17681
