"Series Key",EBA.US48-ALL.D.H
"Series Name","EBA.US48-ALL.D.H, hourly"
Units,megawatthours
Frequency,H
"Start Date",20231102T20
"End Date",20230408T13
Source,"EIA, U.S. Energy Information Administration"

20230915T16,474933
20230915T15,455645
20230915T14,442132
20230915T13,430363
20230915T12,419953
20230915T11,405723
20230915T10,390819
20230915T09,386065
20230915T08,390586
20230915T07,401165
20230915T06,418984
20230915T05,441276
20230915T04,468517
20230915T03,495888
20230915T02,521081
20230915T01,537853
20230915T00,544654
20230914T23,552274
20230914T22,555485
20230914T21,550362
20230914T20,541118
20230914T19,530675
20230914T18,518518
20230914T17,501493
20230914T16,485185
20230914T15,469138
20230914T14,454640
20230914T13,442416
20230914T12,431418
20230914T11,416209
20230914T10,400092
20230914T09,394809
20230914T08,400221
20230914T07,411622
20230914T06,429338
20230914T05,451092
20230914T04,479379
20230914T03,508809
20230914T02,535321
20230914T01,552723
20230914T00,560772
20230913T23,570235
20230913T22,574642
20230913T21,570849
20230913T20,562064
20230913T19,550943
20230913T18,537995
20230913T17,521889
20230913T16,503243
20230913T15,484269
20230913T14,468002
20230913T13,453855
20230913T12,442336
20230913T11,427468
20230913T10,411748
20230913T09,406680
20230913T08,411982
20230913T07,423875
20230913T06,441608
20230913T05,463252
20230913T04,491328
20230913T03,521368
20230913T02,549380
20230913T01,569106
20230913T00,578834
20230912T23,587476
20230912T22,593296
20230912T21,588813
20230912T20,579826
20230912T19,568784
20230912T18,555804
20230912T17,536961
20230912T16,516103
20230912T15,494622
20230912T14,474986
20230912T13,460251
20230912T12,448053
20230912T11,431137
20230912T10,415454
20230912T09,410160
20230912T08,415199
20230912T07,428058
20230912T06,446615
20230912T05,471032
20230912T04,501142
20230912T03,531913
20230912T02,562784
20230912T01,586148
20230912T00,598326
20230911T23,609507
20230911T22,614166
20230911T21,610529
20230911T20,601423
20230911T19,587588
20230911T18,569308
20230911T17,547414
20230911T16,521924
20230911T15,497675
20230911T14,476331
20230911T13,458937
20230911T12,443792
20230911T11,427980
20230911T10,410527
20230911T09,404746
20230911T08,409154
20230911T07,420850
20230911T06,438312
20230911T05,461831
20230911T04,490049
20230911T03,519550
20230911T02,547163
20230911T01,567381
20230911T00,577146
20230910T23,585119
20230910T22,583968
20230910T21,573490
20230910T20,557811
20230910T19,541059
20230910T18,521437
20230910T17,497390
20230910T16,471867
20230910T15,448490
20230910T14,426358
20230910T13,406448
20230910T12,396125
20230910T11,393596
20230910T10,393883
20230910T09,399411
20230910T08,409232
20230910T07,423362
20230910T06,441875
20230910T05,465150
20230910T04,492374
20230910T03,518541
20230910T02,542647
20230910T01,561812
20230910T00,575564
20230909T23,584253
20230909T22,585740
20230909T21,580688
20230909T20,572383
20230909T19,560677
20230909T18,543269
20230909T17,520442
20230909T16,494241
20230909T15,469468
20230909T14,446354
20230909T13,428008
20230909T12,416594
20230909T11,412800
20230909T10,411738
20230909T09,416282
20230909T08,426850
20230909T07,441492
20230909T06,460897
20230909T05,485047
20230909T04,516038
20230909T03,546448
20230909T02,572757
20230909T01,593588
20230909T00,608661
20230908T23,623513
20230908T22,630633
20230908T21,627624
20230908T20,622358
20230908T19,613705
20230908T18,595263
20230908T17,570701
20230908T16,544539
20230908T15,519361
20230908T14,496695
20230908T13,480582
20230908T12,468712
20230908T11,455217
20230908T10,439862
20230908T09,437802
20230908T08,446317
20230908T07,461709
20230908T06,483282
20230908T05,509398
20230908T04,540946
20230908T03,575341
20230908T02,606494
20230908T01,630521
20230908T00,645518
20230907T23,659537
20230907T22,666836
20230907T21,665250
20230907T20,658144
20230907T19,645357
20230907T18,626943
20230907T17,601372
20230907T16,571422
20230907T15,541487
